Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff [K],power,wear_rate
2,298.6,308.4,1778,28.2,161,0,9.8,50139.6,0.090551181
0,298.6,308.4,1407,50.5,164,0,9.8,71053.5,0.116560057
2,298.6,308.4,1391,42.4,169,0,9.8,58978.4,0.121495327
1,298.5,308.4,1513,33.6,172,0,9.9,50836.8,0.113681428
0,298.5,308.4,1612,36.1,174,0,9.9,58193.2,0.107940447
1,298.4,308.4,1515,40.1,179,0,10,60751.5,0.118151815
2,298.3,308.3,1379,48,181,0,10,66192,0.131254532
1,298.4,308.3,1473,39.9,184,0,9.9,58772.7,0.124915139
1,298.4,308.3,1422,42.7,186,0,9.9,60719.4,0.130801688
2,298.4,308.2,1463,37.6,188,0,9.8,55008.8,0.128503076
2,298.4,308.2,1584,41,191,0,9.8,64944,0.120580808
1,298.4,308.2,1850,27,194,0,9.8,49950,0.104864865
1,298.4,308.2,1528,36.2,196,0,9.8,55313.6,0.128272251
0,298.4,308.2,1987,19.8,198,0,9.8,39342.6,0.09964771
2,298.4,308.1,1495,46,203,0,9.7,68770,0.135785953
0,298.4,308.2,1478,43.5,206,0,9.8,64293,0.139377537
2,298.4,308.2,1499,40,211,0,9.8,59960,0.140760507
1,298.4,308.2,1471,47,214,0,9.8,69137,0.145479266
1,298.4,308.2,1282,60.7,216,1,9.8,77817.4,0.168486739
1,298.3,308.1,1412,52.3,218,1,9.8,73847.6,0.154390935
1,298.3,308.1,1586,35.5,0,0,9.8,56303,0
2,298.4,308.2,1468,43.8,2,0,9.8,64298.4,0.001362398
2,298.5,308.3,1440,43.6,5,0,9.8,62784,0.003472222
1,298.5,308.4,1733,26,8,0,9.9,45058,0.004616272
0,298.4,308.2,1612,32.6,10,0,9.8,52551.2,0.006203474
0,298.4,308.3,1458,42.9,15,0,9.9,62548.2,0.010288066
1,298.4,308.3,1433,62.3,20,1,9.9,89275.9,0.013956734
1,298.4,308.3,1318,59.1,22,0,9.9,77893.8,0.016691958
2,298.4,308.2,1610,35,24,0,9.8,56350,0.014906832
1,298.2,308.1,1462,50.8,27,0,9.9,74269.6,0.018467852
2,298.1,308,1924,20.8,29,0,9.9,40019.2,0.015072765
2,298.2,308,1591,33.7,32,0,9.8,53616.7,0.020113136
1,298.2,308.1,1306,58.3,35,0,9.9,76139.8,0.026799387
1,298.2,308.1,1382,43.5,37,0,9.9,60117,0.026772793
1,298.2,308.1,1618,34.7,39,0,9.9,56144.6,0.024103832
1,298.2,308.2,1988,21.4,41,0,10,42543.2,0.020623742
1,298.2,308.2,1436,50.2,43,0,10,72087.2,0.02994429
1,298.2,308.3,1304,49.8,45,0,10.1,64939.2,0.034509202
1,298.2,308.3,1475,49.9,47,0,10.1,73602.5,0.031864407
0,298.2,308.3,1824,24.2,49,0,10.1,44140.8,0.026864035
2,298.1,308.2,1342,48.1,54,0,10.1,64550.2,0.04023845
1,298.1,308.2,1485,40.7,57,0,10.1,60439.5,0.038383838
1,298.2,308.2,1667,30.6,59,0,10,51010.2,0.035392921
1,298.2,308.2,1446,38.2,61,0,10,55237.2,0.042185339
1,298.1,308.3,1301,56,63,0,10.2,72856,0.048424289
1,298.2,308.4,1379,43.1,65,0,10.2,59434.9,0.047135606
1,298.3,308.5,1606,33.6,67,0,10.2,53961.6,0.041718555
2,298.3,308.4,1539,43.4,69,0,10.1,66792.6,0.044834308
1,298.2,308.4,1477,49.9,72,0,10.2,73702.3,0.048747461
1,298.2,308.4,1666,34.6,74,0,10.2,57643.6,0.044417767
0,298.2,308.4,1398,51.8,76,0,10.2,72416.4,0.054363376
0,298.2,308.4,1678,34.6,81,0,10.2,58058.8,0.048271752
2,298.2,308.5,2678,10.7,86,1,10.3,28654.6,0.032113518
1,298.3,308.5,1453,42.9,89,0,10.2,62333.7,0.061252581
0,298.3,308.6,1432,49.5,91,0,10.3,70884,0.063547486
2,298.4,308.6,1527,40.9,96,0,10.2,62454.3,0.062868369
1,298.4,308.7,1588,35,99,0,10.3,55580,0.062342569
1,298.4,308.6,1433,47.1,101,0,10.2,67494.3,0.070481507
1,298.4,308.6,1609,35,103,0,10.2,56315,0.064014916
1,298.3,308.5,1575,41.2,105,0,10.2,64890,0.066666667
2,298.4,308.5,1636,35.7,107,0,10.1,58405.2,0.065403423
1,298.4,308.5,1490,37.9,110,0,10.1,56471,0.073825503
1,298.4,308.5,1741,32.8,112,0,10.1,57104.8,0.064330844
2,298.5,308.6,1344,53,114,0,10.1,71232,0.084821429
1,298.5,308.7,1609,35.3,117,0,10.2,56797.7,0.072715973
2,298.4,308.7,1421,60.7,119,1,10.3,86254.7,0.083743842
1,298.4,308.6,1591,36.7,122,0,10.2,58389.7,0.076681332
1,298.4,308.6,1477,44,124,0,10.2,64988,0.083953961
1,298.4,308.7,1523,36.1,126,0,10.3,54980.3,0.082731451
1,298.5,308.7,1575,33.9,128,0,10.2,53392.5,0.081269841
0,298.4,308.7,1344,52.9,130,0,10.3,71097.6,0.09672619
1,298.4,308.7,1386,44.9,135,0,10.3,62231.4,0.097402597
2,298.3,308.6,1589,37.1,137,0,10.3,58951.9,0.086217747
1,298.3,308.6,1548,40.3,140,0,10.3,62384.4,0.090439276
1,298.3,308.6,1499,38.3,142,0,10.3,57411.7,0.09472982
1,298.3,308.5,1664,31.6,144,0,10.2,52582.4,0.086538462
1,298.3,308.6,1447,38.1,146,0,10.3,55130.7,0.100898411
2,298.3,308.5,1434,46.2,148,0,10.2,66250.8,0.10320781
1,298.3,308.5,1416,52.7,151,0,10.2,74623.2,0.106638418
0,298.4,308.5,1827,24.3,153,0,10.1,44396.1,0.083743842
1,298.4,308.6,1304,45,158,0,10.2,58680,0.121165644
1,298.4,308.6,1569,34.4,160,0,10.2,53973.6,0.101975781
1,298.3,308.6,1584,29.3,162,0,10.3,46411.2,0.102272727
1,298.3,308.5,1362,53.8,164,0,10.2,73275.6,0.12041116
1,298.3,308.4,1329,49.2,166,0,10.1,65386.8,0.124905944
1,298.3,308.5,1539,36.1,168,0,10.2,55557.9,0.109161793
2,298.3,308.5,1629,37.1,170,0,10.2,60435.9,0.104358502
1,298.3,308.5,1538,32.2,173,0,10.2,49523.6,0.112483745
1,298.3,308.6,1570,34.8,175,0,10.3,54636,0.111464968
1,298.3,308.4,1408,43.1,177,0,10.1,60684.8,0.125710227
1,298.2,308.4,1424,47.6,179,0,10.2,67782.4,0.125702247
1,298.2,308.4,1512,34.9,181,0,10.2,52768.8,0.119708995
1,298.2,308.4,1478,42.9,183,0,10.2,63406.2,0.123815968
2,298.1,308.3,1680,33.7,185,0,10.2,56616,0.110119048
1,298.1,308.3,1495,38.7,188,0,10.2,57856.5,0.125752508
2,298,308.1,1552,36.6,190,0,10.1,56803.2,0.12242268
1,297.9,308.1,1393,50.3,193,0,10.2,70067.9,0.138549892
1,298,308.2,1611,30.6,195,0,10.2,49296.6,0.121042831
2,298,308.1,1339,51.6,197,0,10.1,69092.4,0.14712472
1,298,308.1,1777,24.3,200,0,10.1,43181.1,0.11254924
1,298,308.2,1348,58.8,202,1,10.2,79262.4,0.149851632
1,298,308.2,1442,44.1,204,0,10.2,63592.2,0.14147018
2,298,308.2,1395,49.1,206,0,10.2,68494.5,0.147670251
2,297.9,308.1,1627,31.4,209,0,10.2,51087.8,0.128457283
1,297.9,308.1,1585,33.5,212,0,10.2,53097.5,0.133753943
1,298,308.2,1469,45.5,214,0,10.2,66839.5,0.145677332
1,298,308.3,1362,56.8,216,1,10.3,77361.6,0.158590308
1,298,308.3,1405,56.2,218,1,10.3,78961,0.155160142
1,298,308.3,1662,32.7,0,0,10.3,54347.4,0
2,298,308.2,1466,42.6,2,0,10.2,62451.6,0.001364256
1,298,308.2,1620,35.8,5,0,10.2,57996,0.00308642
1,298,308.2,1357,48.2,7,0,10.2,65407.4,0.005158438
1,298,308.2,1514,37.9,9,0,10.2,57380.6,0.005944518
1,298,308.2,1489,40.4,11,0,10.2,60155.6,0.007387508
1,298.1,308.3,1331,63,13,0,10.2,83853,0.009767092
1,298,308,1615,29.5,15,0,10,47642.5,0.009287926
1,298.1,308.2,1482,37.9,17,0,10.1,56167.8,0.011470985
2,298.1,308.2,1420,63.9,19,1,10.1,90738,0.013380282
2,298.2,308.3,1522,49.1,22,0,10.1,74730.2,0.014454665
1,298.1,308.2,1654,32.1,25,0,10.1,53093.4,0.015114873
2,298.1,308.2,1736,26.8,27,0,10.1,46524.8,0.015552995
2,298,308.1,1587,32.3,30,0,10.1,51260.1,0.018903592
1,298.1,308.2,1390,47.5,33,0,10.1,66025,0.023741007
1,298,308.1,1454,37.1,35,0,10.1,53943.4,0.024071527
0,298,308.1,1440,43.7,37,0,10.1,62928,0.025694444
1,297.9,308,1954,21.1,42,0,10.1,41229.4,0.021494371
0,297.9,308,1800,24.8,44,0,10.1,44640,0.024444444
1,298,308,1524,37,49,0,10,56388,0.032152231
0,298,308,1520,39.6,51,0,10,60192,0.033552632
2,298.1,308.1,1452,40.8,56,0,10,59241.6,0.038567493
1,298.1,308.1,1484,40.4,59,0,10,59953.6,0.039757412
1,298.1,308,1426,46,61,0,9.9,65596,0.042776999
1,298.1,308,1652,28.5,63,0,9.9,47082,0.038135593
1,298,308,1401,54.7,65,0,10,76634.7,0.046395432
2,298,307.9,1750,26.6,67,0,9.9,46550,0.038285714
0,298,308,1479,50.7,70,0,10,74985.3,0.047329277
2,298,308,1620,29.4,75,0,10,47628,0.046296296
1,298,308.1,1819,23.4,78,0,10.1,42564.6,0.042880704
2,298.1,308.1,1456,43.7,80,0,10,63627.2,0.054945055
1,298.1,308,1626,36.5,83,0,9.9,59349,0.05104551
2,298.1,308.1,1390,49.8,85,0,10,69222,0.061151079
1,298.2,308.2,1469,43,88,0,10,63167,0.059904697
1,298.2,308.3,2051,19.2,90,0,10.1,39379.2,0.043881034
1,298.2,308.3,1568,36,92,0,10.1,56448,0.058673469
1,298.2,308.3,1589,33.2,94,0,10.1,52754.8,0.059156702
1,298.2,308.3,1805,31.6,96,0,10.1,57038,0.053185596
0,298.2,308.4,1385,42.2,98,0,10.2,58447,0.070758123
1,298.1,308.4,1436,46.7,103,0,10.3,67061.2,0.071727019
1,298.1,308.4,1438,45.6,105,0,10.3,65572.8,0.073018081
1,298,308.3,1473,42.6,107,0,10.3,62749.8,0.072640869
1,298.1,308.4,1335,40.2,109,0,10.3,53667,0.08164794
0,298.1,308.5,1392,44.8,111,0,10.4,62361.6,0.079741379
2,298.1,308.5,1372,51.1,116,0,10.4,70109.2,0.084548105
2,298.1,308.6,1716,30.7,119,0,10.5,52681.2,0.069347319
1,298,308.5,1395,46.2,122,0,10.5,64449,0.087455197
1,298,308.5,1713,25.3,124,0,10.5,43338.9,0.072387624
0,297.9,308.5,2129,18.7,126,0,10.6,39812.3,0.059182715
2,297.8,308.3,1567,35.6,131,0,10.5,55785.2,0.083599234
1,297.8,308.4,1622,38.3,134,0,10.6,62122.6,0.082614057
1,297.7,308.4,1740,27.1,136,0,10.7,47154,0.07816092
0,297.8,308.4,1512,35.1,138,0,10.6,53071.2,0.091269841
2,297.8,308.4,1479,43.5,143,0,10.6,64336.5,0.096686951
1,297.8,308.4,1737,27.5,146,0,10.6,47767.5,0.084052965
1,297.8,308.4,2129,19.2,148,0,10.6,40876.8,0.069516205
1,297.8,308.4,1374,47.1,150,0,10.6,64715.4,0.109170306
2,297.8,308.4,1579,36.6,152,0,10.6,57791.4,0.096263458
1,297.9,308.5,1305,47.2,155,0,10.6,61596,0.118773946
2,297.9,308.5,1449,40.8,157,0,10.6,59119.2,0.108350587
0,298,308.6,1526,41.8,160,0,10.6,63786.8,0.104849279
2,298,308.6,1453,44.1,165,0,10.6,64077.3,0.113558156
1,297.9,308.6,1468,36,168,0,10.7,52848,0.114441417
1,298,308.6,1313,50.8,170,0,10.6,66700.4,0.129474486
2,297.9,308.5,1300,53,172,0,10.6,68900,0.132307692
1,297.9,308.4,1646,40.6,175,0,10.5,66827.6,0.106318348
1,297.8,308.4,1714,33.2,177,0,10.6,56904.8,0.103267211
1,297.8,308.4,1685,28.4,179,0,10.6,47854,0.106231454
1,297.8,308.4,1512,39.9,181,0,10.6,60328.8,0.119708995
1,297.8,308.4,1612,32.1,183,0,10.6,51745.2,0.113523573
0,297.8,308.4,1550,38.2,185,0,10.6,59210,0.119354839
1,297.8,308.4,1518,32.5,190,0,10.6,49335,0.12516469
1,297.8,308.5,1448,40,192,0,10.7,57920,0.132596685
1,297.8,308.5,1561,46.3,194,0,10.7,72274.3,0.124279308
2,297.8,308.5,1488,41.9,196,0,10.7,62347.2,0.13172043
1,297.8,308.5,1699,27.8,199,0,10.7,47232.2,0.117127722
1,297.7,308.5,1501,41.4,201,0,10.8,62141.4,0.133910726
1,297.7,308.5,1373,56.7,203,1,10.8,77849.1,0.14785142
0,297.6,308.4,1703,31.4,205,0,10.8,53474.2,0.120375807
0,297.7,308.5,1720,29.9,210,0,10.8,51428,0.122093023
2,297.6,308.4,1398,41.9,215,0,10.8,58576.2,0.15379113
2,297.6,308.4,1391,51.9,218,0,10.8,72192.9,0.156721783
2,297.6,308.3,1538,40.2,0,0,10.7,61827.6,0
1,297.5,308.2,1647,31.3,3,0,10.7,51551.1,0.001821494
2,297.5,308.1,1469,44.8,5,0,10.6,65811.2,0.003403676
1,297.4,308.1,1749,25.9,8,0,10.7,45299.1,0.004574042
2,297.6,308.2,1995,20.5,10,0,10.6,40897.5,0.005012531
1,297.6,308.3,1742,27.7,13,0,10.7,48253.4,0.007462687
1,297.5,308.2,1563,38.2,15,0,10.7,59706.6,0.009596929
2,297.5,308.2,1713,32.2,17,0,10.7,55158.6,0.00992411
1,297.4,308.1,1474,39.4,20,0,10.7,58075.6,0.013568521
2,297.4,308.2,1530,32.6,22,0,10.8,49878,0.014379085
1,297.4,308.2,1471,46.5,25,0,10.8,68401.5,0.016995241
1,297.5,308.3,1388,48.6,27,0,10.8,67456.8,0.01945245
2,297.5,308.2,2448,13.8,29,0,10.7,33782.4,0.011846405
1,297.5,308.3,1585,32.9,32,0,10.8,52146.5,0.020189274
2,297.5,308.3,1459,45.2,34,0,10.8,65946.8,0.023303633
1,297.5,308.3,1544,40.8,37,0,10.8,62995.2,0.023963731
1,297.6,308.3,1617,31.7,39,0,10.7,51258.9,0.024118738
1,297.6,308.3,1595,34.3,41,0,10.7,54708.5,0.025705329
0,297.6,308.3,1400,44.3,43,0,10.7,62020,0.030714286
2,297.6,308.4,1611,31,48,0,10.8,49941,0.029795158
2,297.6,308.4,1507,46,51,0,10.8,69322,0.03384207
0,297.5,308.3,1674,30,54,0,10.8,50220,0.032258065
1,297.6,308.3,1658,34.3,59,0,10.7,56869.4,0.035585042
1,297.6,308.3,1623,36.9,61,0,10.7,59888.7,0.03758472
2,297.6,308.4,1398,48.9,63,0,10.8,68362.2,0.045064378
1,297.6,308.4,1517,34.2,66,0,10.8,51881.4,0.043506922
2,297.6,308.3,1467,36.7,68,0,10.7,53838.9,0.046353102
2,297.6,308.3,1567,34.6,71,0,10.7,54218.2,0.045309509
2,297.5,308.3,1521,38.2,74,0,10.8,58102.2,0.048652202
1,297.5,308.3,1596,36.8,77,0,10.8,58732.8,0.048245614
0,297.6,308.3,1640,30.9,79,0,10.7,50676,0.048170732
1,297.6,308.3,1438,47.8,84,0,10.7,68736.4,0.058414465
1,297.6,308.4,1407,55.2,86,0,10.8,77666.4,0.061122957
1,297.6,308.4,1353,57.5,88,0,10.8,77797.5,0.06504065
2,297.6,308.5,1552,40.9,90,0,10.9,63476.8,0.057989691
2,297.6,308.4,1569,38.3,93,0,10.8,60092.7,0.059273423
1,297.5,308.4,1489,39.5,96,0,10.9,58815.5,0.064472801
0,297.5,308.4,1587,36.1,98,0,10.9,57290.7,0.061751733
2,297.5,308.3,1622,37.2,103,0,10.8,60338.4,0.06350185
1,297.5,308.4,1604,38.1,106,0,10.9,61112.4,0.066084788
2,297.4,308.3,1405,51.7,108,0,10.9,72638.5,0.076868327
1,297.4,308.3,1412,42,111,0,10.9,59304,0.078611898
1,297.4,308.3,1431,43,113,0,10.9,61533,0.078965758
1,297.4,308.2,1533,37.4,115,0,10.8,57334.2,0.075016308
2,297.4,308.2,1401,51.9,117,0,10.8,72711.9,0.083511777
2,297.4,308.2,1424,53.9,120,0,10.8,76753.6,0.084269663
1,297.3,308.2,1754,29.4,123,0,10.9,51567.6,0.070125428
1,297.3,308.2,1754,26.8,125,0,10.9,47007.2,0.071265678
1,297.5,308.3,2564,12.8,127,1,10.8,32819.2,0.049531981
1,297.5,308.5,1546,40.4,129,0,11,62458.4,0.083441138
1,297.5,308.5,1335,48,131,0,11,64080,0.098127341
2,297.5,308.6,1842,27,133,0,11.1,49734,0.072204126
1,297.5,308.5,1712,26.8,136,0,11,45881.6,0.079439252
2,297.6,308.6,1414,45.4,138,0,11,64195.6,0.097595474
1,297.6,308.7,1319,50.9,141,0,11.1,67137.1,0.106899166
1,297.7,308.7,1249,60.4,143,0,11,75439.6,0.114491593
1,297.6,308.7,1455,48.2,145,0,11.1,70131,0.099656357
2,297.6,308.7,1408,54.8,147,0,11.1,77158.4,0.104403409
1,297.6,308.7,1460,46.7,150,0,11.1,68182,0.102739726
1,297.6,308.6,1491,38.1,152,0,11,56807.1,0.101945003
2,297.6,308.5,1490,43.4,154,0,10.9,64666,0.103355705
2,297.5,308.4,1350,52.2,157,0,10.9,70470,0.116296296
1,297.5,308.4,1528,39.9,160,0,10.9,60967.2,0.104712042
1,297.4,308.3,1571,37.7,162,0,10.9,59226.7,0.103119032
1,297.4,308.3,1490,42.6,164,0,10.9,63474,0.110067114
2,297.4,308.3,1774,28.9,166,0,10.9,51268.6,0.093573844
0,297.4,308.3,1502,43.6,169,0,10.9,65487.2,0.112516644
1,297.4,308.4,1392,49.7,174,0,11,69182.4,0.125
