Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff [K],power,wear_rate
2,298.9,309.2,1412,44.1,140,0,10.300000000000011,62269.200000000004,0.09915014164305949
1,298.9,309.1,2861,4.6,143,1,10.200000000000045,13160.599999999999,0.049982523593149246
1,298.9,309.1,1383,54.9,145,0,10.200000000000045,75926.7,0.10484454085321765
0,298.8,309.0,1497,43.8,147,0,10.199999999999989,65568.59999999999,0.09819639278557114
1,298.7,309.0,1565,35.1,152,0,10.300000000000011,54931.5,0.09712460063897764
1,298.7,309.0,1691,30.1,154,0,10.300000000000011,50899.100000000006,0.09107037256061502
1,298.8,309.1,1512,40.7,156,0,10.300000000000011,61538.4,0.10317460317460317
1,298.8,309.1,1477,42.4,158,0,10.300000000000011,62624.799999999996,0.1069735951252539
1,298.8,309.1,1513,40.3,160,0,10.300000000000011,60973.899999999994,0.10575016523463318
2,298.8,309.0,1661,29.5,162,0,10.199999999999989,48999.5,0.0975316074653823
1,298.8,309.1,1378,54.4,165,0,10.300000000000011,74963.2,0.11973875181422351
1,298.8,309.1,1393,52.6,167,0,10.300000000000011,73271.8,0.1198851399856425
2,298.8,309.0,1592,38.2,169,0,10.199999999999989,60814.4,0.10615577889447236
1,298.8,309.0,1829,22.9,172,0,10.199999999999989,41884.1,0.09404045926735921
2,298.9,309.0,1812,25.9,174,0,10.100000000000023,46930.799999999996,0.09602649006622517
1,299.0,309.1,1523,38.6,177,0,10.100000000000023,58787.8,0.11621799080761655
1,299.0,309.1,1394,45.1,179,0,10.100000000000023,62869.4,0.1284074605451937
2,298.9,308.9,1679,28.7,181,0,10.0,48187.299999999996,0.10780226325193568
0,298.8,308.9,1466,44.1,184,0,10.099999999999966,64650.6,0.12551159618008187
1,298.8,308.9,1527,32.4,189,0,10.099999999999966,49474.799999999996,0.1237721021611002
1,298.9,309.0,1410,65.7,191,1,10.100000000000023,92637.0,0.13546099290780142
2,298.9,309.0,1924,22.6,193,0,10.100000000000023,43482.4,0.10031185031185032
1,298.9,309.1,1452,45.5,196,0,10.200000000000045,66066.0,0.1349862258953168
1,298.9,309.1,1369,44.4,198,0,10.200000000000045,60783.6,0.1446311176040906
1,299.0,309.1,1592,35.0,200,0,10.100000000000023,55720.0,0.12562814070351758
1,298.9,309.0,1601,32.3,202,0,10.100000000000023,51712.299999999996,0.12617114303560276
1,298.8,308.9,1379,46.7,204,0,10.099999999999966,64399.3,0.14793328498912256
1,298.8,308.9,1461,47.9,206,0,10.099999999999966,69981.9,0.14099931553730322
1,298.8,308.9,1455,41.3,208,1,10.099999999999966,60091.49999999999,0.1429553264604811
1,298.8,308.9,1398,51.5,0,0,10.099999999999966,71997.0,0.0
1,298.8,308.9,1402,37.9,2,0,10.099999999999966,53135.799999999996,0.0014265335235378032
0,298.8,308.8,1445,49.9,4,0,10.0,72105.5,0.002768166089965398
1,298.9,308.9,1450,47.5,9,0,10.0,68875.0,0.006206896551724138
1,298.9,308.9,1453,40.8,11,0,10.0,59282.399999999994,0.007570543702684102
1,299.0,309.0,1469,40.1,13,0,10.0,58906.9,0.008849557522123894
1,298.9,308.9,1422,47.6,15,0,10.0,67687.2,0.010548523206751054
2,299.0,309.0,1804,26.8,17,0,10.0,48347.200000000004,0.009423503325942351
0,299.0,309.0,1436,43.9,20,0,10.0,63040.4,0.013927576601671309
1,299.0,309.0,1544,31.8,25,0,10.0,49099.200000000004,0.016191709844559584
2,299.0,309.0,1419,45.2,27,0,10.0,64138.8,0.019027484143763214
2,298.9,308.9,1487,39.5,30,0,10.0,58736.5,0.020174848688634835
1,298.9,308.9,1753,25.8,33,0,10.0,45227.4,0.018824871648602397
1,298.9,308.9,1830,24.9,35,0,10.0,45567.0,0.01912568306010929
2,298.9,308.9,1727,27.1,37,0,10.0,46801.700000000004,0.021424435437174292
1,299.1,309.0,1450,43.0,40,0,9.899999999999977,62350.0,0.027586206896551724
1,299.0,308.9,1622,31.9,42,0,9.899999999999977,51741.799999999996,0.025893958076448828
2,299.0,309.0,1351,52.2,44,0,10.0,70522.2,0.03256846780162842
2,299.0,309.0,1575,35.3,47,0,10.0,55597.49999999999,0.029841269841269842
2,298.9,308.9,1750,29.9,50,0,10.0,52325.0,0.02857142857142857
1,298.9,308.8,1529,32.7,53,0,9.900000000000034,49998.3,0.03466317854807063
1,298.8,308.8,1523,44.4,55,0,10.0,67621.2,0.03611293499671701
1,298.8,308.9,1852,25.0,57,0,10.099999999999966,46300.0,0.030777537796976243
1,298.8,308.8,1991,20.7,59,0,10.0,41213.7,0.029633350075339026
1,298.8,308.8,1555,40.6,61,0,10.0,63133.0,0.03922829581993569
2,298.8,308.8,1441,40.5,63,0,10.0,58360.5,0.04371963913948647
1,298.8,308.7,1450,43.4,66,0,9.899999999999977,62930.0,0.04551724137931035
1,298.8,308.7,1591,31.1,68,0,9.899999999999977,49480.100000000006,0.04274041483343809
1,298.8,308.7,1445,48.5,70,0,9.899999999999977,70082.5,0.04844290657439446
2,298.8,308.8,1497,46.8,72,0,10.0,70059.59999999999,0.04809619238476954
0,298.9,308.8,1621,32.7,75,0,9.900000000000034,53006.700000000004,0.04626773596545342
1,298.9,308.7,1572,34.1,80,0,9.800000000000011,53605.200000000004,0.05089058524173028
1,298.8,308.6,1872,22.5,82,0,9.800000000000011,42120.0,0.0438034188034188
0,298.7,308.6,1499,43.5,84,0,9.900000000000034,65206.5,0.056037358238825885
2,298.8,308.7,1498,39.5,89,0,9.899999999999977,59171.0,0.05941255006675567
2,298.8,308.6,1486,41.9,92,0,9.800000000000011,62263.4,0.06191117092866756
1,298.8,308.6,1680,29.4,95,0,9.800000000000011,49392.0,0.05654761904761905
1,298.8,308.6,1431,45.7,97,0,9.800000000000011,65396.700000000004,0.06778476589797344
1,298.9,308.7,1564,34.1,99,0,9.800000000000011,53332.4,0.0632992327365729
1,298.8,308.6,1599,33.0,101,0,9.800000000000011,52767.0,0.06316447779862414
2,298.8,308.6,1707,28.1,103,0,9.800000000000011,47966.700000000004,0.06033977738722906
1,298.7,308.5,1467,40.7,106,0,9.800000000000011,59706.9,0.07225630538513975
1,298.9,308.7,1433,44.7,108,0,9.800000000000011,64055.100000000006,0.07536636427076064
1,298.9,308.7,1558,41.2,110,0,9.800000000000011,64189.600000000006,0.07060333761232349
1,299.0,308.8,1310,50.7,112,0,9.800000000000011,66417.0,0.08549618320610687
1,298.9,308.7,1546,43.4,114,0,9.800000000000011,67096.4,0.07373868046571798
1,298.9,308.7,1727,29.4,116,0,9.800000000000011,50773.799999999996,0.0671685002895194
1,298.9,308.6,1560,32.2,118,0,9.700000000000045,50232.00000000001,0.07564102564102564
1,299.0,308.6,1329,60.5,120,0,9.600000000000023,80404.5,0.09029345372460497
1,298.9,308.6,1413,46.5,122,0,9.700000000000045,65704.5,0.08634111818825195
1,299.0,308.6,1587,38.6,124,0,9.600000000000023,61258.200000000004,0.07813484562066793
1,298.9,308.5,1559,34.3,126,0,9.600000000000023,53473.7,0.08082103912764593
1,298.8,308.4,1473,41.1,128,0,9.599999999999966,60540.3,0.08689748811948404
1,298.8,308.4,1737,27.7,130,0,9.599999999999966,48114.9,0.07484168105929764
2,298.7,308.4,1441,43.2,132,0,9.699999999999989,62251.200000000004,0.0916030534351145
2,298.7,308.4,1430,49.6,135,0,9.699999999999989,70928.0,0.0944055944055944
1,298.8,308.4,1369,53.0,138,0,9.599999999999966,72557.0,0.10080350620891161
2,298.8,308.5,1711,28.5,140,0,9.699999999999989,48763.5,0.08182349503214495
0,298.7,308.5,1420,45.7,143,0,9.800000000000011,64894.00000000001,0.10070422535211268
1,298.7,308.6,1297,55.3,148,0,9.900000000000034,71724.09999999999,0.1141094834232845
0,298.8,308.6,1449,49.4,150,0,9.800000000000011,71580.59999999999,0.10351966873706005
1,298.8,308.6,1268,55.8,155,0,9.800000000000011,70754.4,0.1222397476340694
1,298.8,308.6,1511,36.1,157,0,9.800000000000011,54547.1,0.10390469887491727
1,298.7,308.5,1544,35.2,159,0,9.800000000000011,54348.8,0.10297927461139897
2,298.6,308.4,1778,28.2,161,0,9.799999999999955,50139.6,0.09055118110236221
0,298.6,308.4,1407,50.5,164,0,9.799999999999955,71053.5,0.11656005685856433
2,298.6,308.4,1391,42.4,169,0,9.799999999999955,58978.4,0.12149532710280374
1,298.5,308.4,1513,33.6,172,0,9.899999999999977,50836.8,0.11368142762723067
0,298.5,308.4,1612,36.1,174,0,9.899999999999977,58193.200000000004,0.10794044665012408
1,298.4,308.4,1515,40.1,179,0,10.0,60751.5,0.11815181518151815
2,298.3,308.3,1379,48.0,181,0,10.0,66192.0,0.1312545322697607
1,298.4,308.3,1473,39.9,184,0,9.900000000000034,58772.7,0.12491513917175831
1,298.4,308.3,1422,42.7,186,0,9.900000000000034,60719.4,0.1308016877637131
2,298.4,308.2,1463,37.6,188,0,9.800000000000011,55008.8,0.12850307587149692
2,298.4,308.2,1584,41.0,191,0,9.800000000000011,64944.0,0.12058080808080808
1,298.4,308.2,1850,27.0,194,0,9.800000000000011,49950.0,0.10486486486486486
1,298.4,308.2,1528,36.2,196,0,9.800000000000011,55313.600000000006,0.12827225130890052
0,298.4,308.2,1987,19.8,198,0,9.800000000000011,39342.6,0.0996477101157524
2,298.4,308.1,1495,46.0,203,0,9.700000000000045,68770.0,0.13578595317725753
0,298.4,308.2,1478,43.5,206,0,9.800000000000011,64293.0,0.13937753721244925
2,298.4,308.2,1499,40.0,211,0,9.800000000000011,59960.0,0.14076050700466977
1,298.4,308.2,1471,47.0,214,0,9.800000000000011,69137.0,0.14547926580557444
1,298.4,308.2,1282,60.7,216,1,9.800000000000011,77817.40000000001,0.1684867394695788
1,298.3,308.1,1412,52.3,218,1,9.800000000000011,73847.59999999999,0.15439093484419264
1,298.3,308.1,1586,35.5,0,0,9.800000000000011,56303.0,0.0
2,298.4,308.2,1468,43.8,2,0,9.800000000000011,64298.399999999994,0.0013623978201634877
2,298.5,308.3,1440,43.6,5,0,9.800000000000011,62784.0,0.003472222222222222
1,298.5,308.4,1733,26.0,8,0,9.899999999999977,45058.0,0.004616272360069244
0,298.4,308.2,1612,32.6,10,0,9.800000000000011,52551.200000000004,0.00620347394540943
0,298.4,308.3,1458,42.9,15,0,9.900000000000034,62548.2,0.0102880658436214
1,298.4,308.3,1433,62.3,20,1,9.900000000000034,89275.9,0.013956734124214934
1,298.4,308.3,1318,59.1,22,0,9.900000000000034,77893.8,0.01669195751138088
2,298.4,308.2,1610,35.0,24,0,9.800000000000011,56350.0,0.014906832298136646
1,298.2,308.1,1462,50.8,27,0,9.900000000000034,74269.59999999999,0.018467852257181942
2,298.1,308.0,1924,20.8,29,0,9.899999999999977,40019.200000000004,0.015072765072765074
2,298.2,308.0,1591,33.7,32,0,9.800000000000011,53616.700000000004,0.02011313639220616
1,298.2,308.1,1306,58.3,35,0,9.900000000000034,76139.8,0.02679938744257274
1,298.2,308.1,1382,43.5,37,0,9.900000000000034,60117.0,0.026772793053545588
1,298.2,308.1,1618,34.7,39,0,9.900000000000034,56144.600000000006,0.024103831891223733
1,298.2,308.2,1988,21.4,41,0,10.0,42543.2,0.02062374245472837
1,298.2,308.2,1436,50.2,43,0,10.0,72087.2,0.029944289693593314
1,298.2,308.3,1304,49.8,45,0,10.100000000000023,64939.2,0.03450920245398773
1,298.2,308.3,1475,49.9,47,0,10.100000000000023,73602.5,0.031864406779661014
0,298.2,308.3,1824,24.2,49,0,10.100000000000023,44140.799999999996,0.0268640350877193
2,298.1,308.2,1342,48.1,54,0,10.099999999999966,64550.200000000004,0.040238450074515646
1,298.1,308.2,1485,40.7,57,0,10.099999999999966,60439.50000000001,0.03838383838383838
1,298.2,308.2,1667,30.6,59,0,10.0,51010.200000000004,0.03539292141571686
1,298.2,308.2,1446,38.2,61,0,10.0,55237.200000000004,0.042185338865836794
1,298.1,308.3,1301,56.0,63,0,10.199999999999989,72856.0,0.04842428900845504
1,298.2,308.4,1379,43.1,65,0,10.199999999999989,59434.9,0.04713560551124003
1,298.3,308.5,1606,33.6,67,0,10.199999999999989,53961.600000000006,0.041718555417185554
2,298.3,308.4,1539,43.4,69,0,10.099999999999966,66792.59999999999,0.04483430799220273
1,298.2,308.4,1477,49.9,72,0,10.199999999999989,73702.3,0.04874746106973595
1,298.2,308.4,1666,34.6,74,0,10.199999999999989,57643.600000000006,0.04441776710684274
0,298.2,308.4,1398,51.8,76,0,10.199999999999989,72416.4,0.05436337625178827
0,298.2,308.4,1678,34.6,81,0,10.199999999999989,58058.8,0.048271752085816445
2,298.2,308.5,2678,10.7,86,1,10.300000000000011,28654.6,0.03211351755041075
1,298.3,308.5,1453,42.9,89,0,10.199999999999989,62333.7,0.06125258086717137
0,298.3,308.6,1432,49.5,91,0,10.300000000000011,70884.0,0.06354748603351955
2,298.4,308.6,1527,40.9,96,0,10.200000000000045,62454.299999999996,0.06286836935166994
1,298.4,308.7,1588,35.0,99,0,10.300000000000011,55580.0,0.06234256926952141
1,298.4,308.6,1433,47.1,101,0,10.200000000000045,67494.3,0.07048150732728542
1,298.4,308.6,1609,35.0,103,0,10.200000000000045,56315.0,0.06401491609695463
1,298.3,308.5,1575,41.2,105,0,10.199999999999989,64890.00000000001,0.06666666666666667
2,298.4,308.5,1636,35.7,107,0,10.100000000000023,58405.200000000004,0.06540342298288508
1,298.4,308.5,1490,37.9,110,0,10.100000000000023,56471.0,0.0738255033557047
1,298.4,308.5,1741,32.8,112,0,10.100000000000023,57104.799999999996,0.064330844342332
2,298.5,308.6,1344,53.0,114,0,10.100000000000023,71232.0,0.08482142857142858
1,298.5,308.7,1609,35.3,117,0,10.199999999999989,56797.7,0.07271597265382225
2,298.4,308.7,1421,60.7,119,1,10.300000000000011,86254.7,0.08374384236453201
1,298.4,308.6,1591,36.7,122,0,10.200000000000045,58389.700000000004,0.07668133249528598
1,298.4,308.6,1477,44.0,124,0,10.200000000000045,64988.0,0.08395396073121192
1,298.4,308.7,1523,36.1,126,0,10.300000000000011,54980.3,0.08273145108338804
1,298.5,308.7,1575,33.9,128,0,10.199999999999989,53392.5,0.08126984126984127
0,298.4,308.7,1344,52.9,130,0,10.300000000000011,71097.59999999999,0.09672619047619048
1,298.4,308.7,1386,44.9,135,0,10.300000000000011,62231.4,0.09740259740259741
2,298.3,308.6,1589,37.1,137,0,10.300000000000011,58951.9,0.08621774701069855
1,298.3,308.6,1548,40.3,140,0,10.300000000000011,62384.399999999994,0.09043927648578812
1,298.3,308.6,1499,38.3,142,0,10.300000000000011,57411.7,0.09472981987991995
1,298.3,308.5,1664,31.6,144,0,10.199999999999989,52582.4,0.08653846153846154
1,298.3,308.6,1447,38.1,146,0,10.300000000000011,55130.700000000004,0.10089841050449205
2,298.3,308.5,1434,46.2,148,0,10.199999999999989,66250.8,0.10320781032078104
1,298.3,308.5,1416,52.7,151,0,10.199999999999989,74623.2,0.10663841807909605
0,298.4,308.5,1827,24.3,153,0,10.100000000000023,44396.1,0.08374384236453201
1,298.4,308.6,1304,45.0,158,0,10.200000000000045,58680.0,0.12116564417177914
1,298.4,308.6,1569,34.4,160,0,10.200000000000045,53973.6,0.10197578075207138
1,298.3,308.6,1584,29.3,162,0,10.300000000000011,46411.200000000004,0.10227272727272728
1,298.3,308.5,1362,53.8,164,0,10.199999999999989,73275.59999999999,0.12041116005873716
1,298.3,308.4,1329,49.2,166,0,10.099999999999966,65386.8,0.12490594431903687
1,298.3,308.5,1539,36.1,168,0,10.199999999999989,55557.9,0.10916179337231968
2,298.3,308.5,1629,37.1,170,0,10.199999999999989,60435.9,0.1043585021485574
1,298.3,308.5,1538,32.2,173,0,10.199999999999989,49523.600000000006,0.11248374512353707
1,298.3,308.6,1570,34.8,175,0,10.300000000000011,54635.99999999999,0.11146496815286625
1,298.3,308.4,1408,43.1,177,0,10.099999999999966,60684.8,0.12571022727272727
1,298.2,308.4,1424,47.6,179,0,10.199999999999989,67782.40000000001,0.12570224719101122
1,298.2,308.4,1512,34.9,181,0,10.199999999999989,52768.799999999996,0.11970899470899471
1,298.2,308.4,1478,42.9,183,0,10.199999999999989,63406.2,0.12381596752368065
2,298.1,308.3,1680,33.7,185,0,10.199999999999989,56616.00000000001,0.11011904761904762
1,298.1,308.3,1495,38.7,188,0,10.199999999999989,57856.50000000001,0.12575250836120402
2,298.0,308.1,1552,36.6,190,0,10.100000000000023,56803.200000000004,0.12242268041237113
1,297.9,308.1,1393,50.3,193,0,10.200000000000045,70067.9,0.13854989231873654
1,298.0,308.2,1611,30.6,195,0,10.199999999999989,49296.600000000006,0.12104283054003724
2,298.0,308.1,1339,51.6,197,0,10.100000000000023,69092.40000000001,0.14712471994025392
1,298.0,308.1,1777,24.3,200,0,10.100000000000023,43181.1,0.11254924029262803
1,298.0,308.2,1348,58.8,202,1,10.199999999999989,79262.4,0.14985163204747776
1,298.0,308.2,1442,44.1,204,0,10.199999999999989,63592.200000000004,0.14147018030513175
2,298.0,308.2,1395,49.1,206,0,10.199999999999989,68494.5,0.14767025089605734
2,297.9,308.1,1627,31.4,209,0,10.200000000000045,51087.799999999996,0.12845728334357714
1,297.9,308.1,1585,33.5,212,0,10.200000000000045,53097.5,0.13375394321766562
1,298.0,308.2,1469,45.5,214,0,10.199999999999989,66839.5,0.1456773315180395
1,298.0,308.3,1362,56.8,216,1,10.300000000000011,77361.59999999999,0.15859030837004406
1,298.0,308.3,1405,56.2,218,1,10.300000000000011,78961.0,0.15516014234875444
1,298.0,308.3,1662,32.7,0,0,10.300000000000011,54347.4,0.0
2,298.0,308.2,1466,42.6,2,0,10.199999999999989,62451.6,0.001364256480218281
1,298.0,308.2,1620,35.8,5,0,10.199999999999989,57995.99999999999,0.0030864197530864196
1,298.0,308.2,1357,48.2,7,0,10.199999999999989,65407.4,0.005158437730287398
1,298.0,308.2,1514,37.9,9,0,10.199999999999989,57380.6,0.0059445178335535
1,298.0,308.2,1489,40.4,11,0,10.199999999999989,60155.6,0.007387508394895903
1,298.1,308.3,1331,63.0,13,0,10.199999999999989,83853.0,0.009767092411720512
1,298.0,308.0,1615,29.5,15,0,10.0,47642.5,0.009287925696594427
1,298.1,308.2,1482,37.9,17,0,10.099999999999966,56167.799999999996,0.011470985155195682
2,298.1,308.2,1420,63.9,19,1,10.099999999999966,90738.0,0.013380281690140845
2,298.2,308.3,1522,49.1,22,0,10.100000000000023,74730.2,0.01445466491458607
1,298.1,308.2,1654,32.1,25,0,10.099999999999966,53093.4,0.015114873035066506
2,298.1,308.2,1736,26.8,27,0,10.099999999999966,46524.8,0.01555299539170507
2,298.0,308.1,1587,32.3,30,0,10.100000000000023,51260.1,0.01890359168241966
1,298.1,308.2,1390,47.5,33,0,10.099999999999966,66025.0,0.023741007194244605
1,298.0,308.1,1454,37.1,35,0,10.100000000000023,53943.4,0.024071526822558458
0,298.0,308.1,1440,43.7,37,0,10.100000000000023,62928.00000000001,0.025694444444444443
1,297.9,308.0,1954,21.1,42,0,10.100000000000023,41229.4,0.021494370522006142
0,297.9,308.0,1800,24.8,44,0,10.100000000000023,44640.0,0.024444444444444446
1,298.0,308.0,1524,37.0,49,0,10.0,56388.0,0.03215223097112861
0,298.0,308.0,1520,39.6,51,0,10.0,60192.0,0.03355263157894737
2,298.1,308.1,1452,40.8,56,0,10.0,59241.6,0.03856749311294766
1,298.1,308.1,1484,40.4,59,0,10.0,59953.6,0.03975741239892183
1,298.1,308.0,1426,46.0,61,0,9.899999999999977,65596.0,0.042776998597475455
1,298.1,308.0,1652,28.5,63,0,9.899999999999977,47082.0,0.038135593220338986
1,298.0,308.0,1401,54.7,65,0,10.0,76634.7,0.046395431834404
2,298.0,307.9,1750,26.6,67,0,9.899999999999977,46550.0,0.038285714285714284
0,298.0,308.0,1479,50.7,70,0,10.0,74985.3,0.04732927653820149
2,298.0,308.0,1620,29.4,75,0,10.0,47628.0,0.046296296296296294
1,298.0,308.1,1819,23.4,78,0,10.100000000000023,42564.6,0.04288070368334249
2,298.1,308.1,1456,43.7,80,0,10.0,63627.200000000004,0.054945054945054944
1,298.1,308.0,1626,36.5,83,0,9.899999999999977,59349.0,0.051045510455104554
2,298.1,308.1,1390,49.8,85,0,10.0,69222.0,0.06115107913669065
1,298.2,308.2,1469,43.0,88,0,10.0,63167.0,0.059904697072838665
1,298.2,308.3,2051,19.2,90,0,10.100000000000023,39379.2,0.04388103364212579
1,298.2,308.3,1568,36.0,92,0,10.100000000000023,56448.0,0.058673469387755105
1,298.2,308.3,1589,33.2,94,0,10.100000000000023,52754.8,0.0591567023285085
1,298.2,308.3,1805,31.6,96,0,10.100000000000023,57038.0,0.05318559556786703
0,298.2,308.4,1385,42.2,98,0,10.199999999999989,58447.00000000001,0.07075812274368232
1,298.1,308.4,1436,46.7,103,0,10.299999999999955,67061.2,0.07172701949860724
1,298.1,308.4,1438,45.6,105,0,10.299999999999955,65572.8,0.07301808066759388
1,298.0,308.3,1473,42.6,107,0,10.300000000000011,62749.8,0.0726408689748812
1,298.1,308.4,1335,40.2,109,0,10.299999999999955,53667.00000000001,0.08164794007490636
0,298.1,308.5,1392,44.8,111,0,10.399999999999977,62361.6,0.07974137931034483
2,298.1,308.5,1372,51.1,116,0,10.399999999999977,70109.2,0.08454810495626822
2,298.1,308.6,1716,30.7,119,0,10.5,52681.2,0.06934731934731934
1,298.0,308.5,1395,46.2,122,0,10.5,64449.00000000001,0.08745519713261649
1,298.0,308.5,1713,25.3,124,0,10.5,43338.9,0.07238762405137186
0,297.9,308.5,2129,18.7,126,0,10.600000000000023,39812.299999999996,0.05918271488961954
2,297.8,308.3,1567,35.6,131,0,10.5,55785.200000000004,0.08359923420548819
1,297.8,308.4,1622,38.3,134,0,10.599999999999966,62122.6,0.08261405672009864
1,297.7,308.4,1740,27.1,136,0,10.699999999999989,47154.0,0.07816091954022988
0,297.8,308.4,1512,35.1,138,0,10.599999999999966,53071.200000000004,0.09126984126984126
2,297.8,308.4,1479,43.5,143,0,10.599999999999966,64336.5,0.0966869506423259
1,297.8,308.4,1737,27.5,146,0,10.599999999999966,47767.5,0.08405296488198043
1,297.8,308.4,2129,19.2,148,0,10.599999999999966,40876.799999999996,0.06951620479098168
1,297.8,308.4,1374,47.1,150,0,10.599999999999966,64715.4,0.1091703056768559
2,297.8,308.4,1579,36.6,152,0,10.599999999999966,57791.4,0.09626345788473717
1,297.9,308.5,1305,47.2,155,0,10.600000000000023,61596.00000000001,0.11877394636015326
2,297.9,308.5,1449,40.8,157,0,10.600000000000023,59119.2,0.10835058661145618
0,298.0,308.6,1526,41.8,160,0,10.600000000000023,63786.799999999996,0.10484927916120576
2,298.0,308.6,1453,44.1,165,0,10.600000000000023,64077.3,0.11355815554026152
1,297.9,308.6,1468,36.0,168,0,10.700000000000045,52848.0,0.11444141689373297
1,298.0,308.6,1313,50.8,170,0,10.600000000000023,66700.4,0.12947448591012947
2,297.9,308.5,1300,53.0,172,0,10.600000000000023,68900.0,0.13230769230769232
1,297.9,308.4,1646,40.6,175,0,10.5,66827.6,0.106318347509113
1,297.8,308.4,1714,33.2,177,0,10.599999999999966,56904.8,0.10326721120186698
1,297.8,308.4,1685,28.4,179,0,10.599999999999966,47854.0,0.10623145400593471
1,297.8,308.4,1512,39.9,181,0,10.599999999999966,60328.799999999996,0.11970899470899471
1,297.8,308.4,1612,32.1,183,0,10.599999999999966,51745.200000000004,0.11352357320099256
